datetime,seikeiki,product_id,present_kensahyou,product_name,tantou,,
2019-9-6 08:00,5,MLD-MD-20049,1,MD-MIE-PフランジL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 08:00,6,CAS-MD-20015,1,カバーカセットS3P,3500ケ,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 08:00,7,P2132-93010,1,ラッチB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 08:00,8,P0242-12700,0,ホースジョイント,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 08:00,9,P002X-93030,0,フィルターAU ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 09:00,8,H2131-36600D,1,ラッチA,1000ヶ以上確認,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 09:00,9,W002,0,ターミナル,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 10:00,2,BON-MD-20015,1,MD-CP30ボビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 11:00,1,AWW0195A1Z00,1,フタチョウバントリツケイタA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 13:00,7,RC41-J67,0,スリーブ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 14:00,5,CAS-NDS-20001,1,NDS-カセットCASE-1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 15:00,8,RD08-J67,1,蒸気口キャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-6 15:30,6,P2131-93020,1,ラッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 08:00,1,AWW0195A1Z00,1,フタチョウバントリツケイタA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 08:00,2,BON-MD-20015,1,MD-CP30ボビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 08:00,3,P1189-31350,1,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2019-9-7 08:00,4,P2166-67370,1,カゴピンB（L） ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
