1,2,3,4,5,6,7,8,9,10,11
2018/12/6,29-105092,MLD-EX-20002,270,0,2019/1/11,488,1,0,2018/12/10 17:41,
2018/12/6,29-105093,MLD-EX-20002,250,0,2019/1/11,2689,1,0,2018/12/10 17:41,
2018/12/6,29-105096,MLD-EX-20002,260,0,2019/1/9,6145,1,0,2018/12/10 17:41,
2018/12/6,29-105099,MLD-EX-20002,250,0,2019/1/9,641,1,0,2018/12/10 17:41,
2018/12/6,29-105100,MLD-EX-20002,250,0,2019/1/9,960,1,0,2018/12/10 17:41,
2018/12/6,29-105103,MLD-EX-20002,250,0,2019/1/16,5005,1,0,2018/12/10 17:41,
2018/12/6,29-105106,MLD-EX-20002,250,0,2019/1/16,8449,1,0,2018/12/10 17:41,
2018/12/6,29-105107,MLD-EX-20002,250,0,2019/1/16,1537,1,0,2018/12/10 17:41,
2018/12/6,29-105111,MLD-EX-20002,250,0,2019/1/16,1600,1,0,2018/12/10 17:41,
2018/12/6,29-105114,MLD-EX-20002,270,0,2019/1/16,320,1,0,2018/12/10 17:41,
2018/12/6,29-105117,MLD-EX-20002,220,0,2019/1/21,3584,1,0,2018/12/10 17:41,
2018/12/6,29-105118,MLD-EX-20002,220,0,2019/1/21,3200,1,0,2018/12/10 17:41,
2018/12/6,29-105122,MLD-EX-20002,220,0,2019/1/21,8640,1,0,2018/12/10 17:41,
2018/12/6,29-105125,MLD-EX-20002,220,0,2019/1/23,2048,1,0,2018/12/10 17:41,
2018/12/6,29-105128,MLD-EX-20002,220,0,2019/1/23,512,1,0,2018/12/10 17:41,
2018/12/6,29-105130,MLD-EX-20002,220,0,2019/1/23,1920,1,0,2018/12/10 17:41,
2018/12/6,29-105133,MLD-EX-20001,220,0,2019/1/16,448,1,0,2018/12/10 17:41,
2018/12/6,29-105136,MLD-EX-20001,220,0,2019/1/16,448,1,0,2018/12/10 17:41,
2018/12/6,29-105139,MLD-EX-20001,270,0,2019/1/16,449,1,0,2018/12/10 17:41,
2018/12/6,29-105140,MLD-EX-20002,220,0,2019/1/23,512,1,0,2018/12/10 17:41,
2018/12/6,29-105184,MLD-EX-20002,210,0,2019/1/23,4160,1,0,2018/12/10 17:41,
2018/12/6,29-105188,BON-MD-20015,80,0,2019/1/9,3987,1,0,2018/12/10 17:41,
2018/12/6,29-105188,CAS-MD-20009,90,0,2019/1/9,2040,1,0,2018/12/10 17:41,
2018/12/6,29-105188,CAS-MD-20015,100,0,2019/1/9,2040,1,0,2018/12/10 17:41,
2018/12/6,29-105192,MLD-MD-20034,100,0,2019/1/11,566,1,0,2018/12/10 17:41,
2018/12/6,29-105195,MLD-MD-20034,100,0,2019/1/11,566,1,0,2018/12/10 17:41,
2018/12/6,29-105196,MLD-EX-20002,240,0,2019/1/23,384,1,0,2018/12/10 17:41,
2018/12/6,29-105199,MLD-MD-20034,110,0,2019/1/11,303,1,0,2018/12/10 17:41,
2018/12/6,29-105203,BON-MD-20023,60,0,2018/12/26,16800,1,0,2018/12/10 17:41,
2018/12/6,29-105203,MLD-MD-20035,70,0,2019/1/9,16080,1,0,2018/12/10 17:41,
2018/12/6,29-105203,MLD-MD-20036,80,0,2019/1/9,8040,1,0,2018/12/10 17:41,
2018/12/6,29-105206,BON-MD-20023,60,0,2018/12/26,2016,1,0,2018/12/10 17:41,
2018/12/6,29-105206,MLD-MD-20035,70,0,2018/12/26,1930,1,0,2018/12/10 17:41,
2018/12/6,29-105206,MLD-MD-20036,80,0,2018/12/26,965,1,0,2018/12/10 17:41,
2018/12/6,29-105209,BON-MD-20023,60,0,2019/1/9,6452,1,0,2018/12/10 17:41,
2018/12/6,29-105209,MLD-MD-20035,70,0,2018/12/26,6175,1,0,2018/12/10 17:41,
2018/12/6,29-105209,MLD-MD-20036,80,0,2018/12/26,3088,1,0,2018/12/10 17:41,
2018/12/6,29-105210,BON-MD-20023,60,0,2019/1/9,16800,1,0,2018/12/10 17:41,
2018/12/6,29-105210,MLD-MD-20035,70,0,2019/1/11,16080,1,0,2018/12/10 17:41,
2018/12/6,29-105210,MLD-MD-20036,80,0,2019/1/11,8040,1,0,2018/12/10 17:41,
2018/12/6,29-105211,BON-MD-20023,60,0,2019/1/11,15960,1,0,2018/12/10 17:41,
2018/12/6,29-105211,MLD-MD-20035,70,0,2019/1/16,15276,1,0,2018/12/10 17:41,
2018/12/6,29-105211,MLD-MD-20036,80,0,2019/1/16,7638,1,0,2018/12/10 17:41,
2018/12/6,29-105225,MLD-EX-20001,260,0,2019/1/16,2000,1,0,2018/12/10 17:41,
2018/12/6,29-105228,BON-SO-20024,70,0,2019/1/25,618,1,0,2018/12/10 17:41,2019/1/16 10:25
2018/12/6,29-105228,BON-SO-20025,80,0,2019/1/25,624,1,0,2018/12/10 17:41,2019/1/16 10:26
2018/12/6,29-105251,MLD-EX-20002,240,0,2019/1/23,384,1,0,2018/12/10 17:41,
2018/12/6,97-297938,BON-MD-20023,50,0,2018/12/26,90,1,0,2018/12/10 17:41,
2018/12/6,97-297938,MLD-MD-20035,60,0,2018/12/26,90,1,0,2018/12/10 17:41,
2018/12/6,97-297938,MLD-MD-20036,70,0,2018/12/26,45,1,0,2018/12/10 17:41,
2018/12/10,29-104983,MLD-MD-20031,100,0,2018/12/19,11,1,0,2018/12/10 20:12,
2018/12/10,29-104983,MLD-MD-20032,110,0,2018/12/19,11,1,0,2018/12/10 20:12,
2018/12/10,29-105069,MLD-MD-20031,110,0,2018/12/21,122,1,0,2018/12/10 20:12,
2018/12/10,29-105069,MLD-MD-20032,120,0,2018/12/21,122,1,0,2018/12/10 20:12,
2018/12/10,29-105070,MLD-MD-20031,110,0,2018/12/19,512,1,0,2018/12/10 20:12,
2018/12/10,29-105082,MLD-MD-20031,110,0,2018/12/19,408,1,0,2018/12/10 20:12,
2018/12/10,29-105082,MLD-MD-20032,120,0,2018/12/19,408,1,0,2018/12/10 20:12,
2018/12/10,29-105203,MLD-MD-20031,110,0,2018/12/19,8120,1,0,2018/12/10 20:12,
2018/12/10,29-105203,MLD-MD-20032,120,0,2018/12/19,8120,1,0,2018/12/10 20:12,
2018/12/10,29-105206,MLD-MD-20031,110,0,2018/12/21,975,1,0,2018/12/10 20:12,
2018/12/10,29-105206,MLD-MD-20032,120,0,2018/12/21,975,1,0,2018/12/10 20:12,
2018/12/10,29-105209,MLD-MD-20031,110,0,2018/12/19,3119,1,0,2018/12/10 20:12,
2018/12/10,29-105209,MLD-MD-20032,120,0,2018/12/19,3119,1,0,2018/12/10 20:12,
2018/12/10,29-105210,MLD-MD-20031,110,0,2018/12/21,8120,1,0,2018/12/10 20:12,
