　,外注業者名,受注番号,品名,内容,種別,工程内容,仕様書番号,仕様書名,発注日,発注数,発注単価,発注金額,納期,　,納入場所名,伝票№,担当者,登録日
800004,株式会社栄ライト工業所,29-110741,#62 DS40-PC(DM4640)/31ｶｲ4,250,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,1280,7.80,9984,2020/01/08,199969,弊社岡山第１工場,14193,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110744,#69 DS620-68ｶｲ3,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,1536,7.80,11980.8,2020/01/10,199969,弊社岡山第１工場,15193,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-522326,#4 DS620-35(DK),210,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,512,7.80,3993.6,2020/01/10,199969,弊社岡山第１工場,16193,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110792,#11 DS620-46 CN B,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,2048,7.80,15974.4,2020/01/10,199969,弊社岡山第１工場,17193,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110747,#8 DS620-57(IGS)ｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,5760,7.80,44928,2020/01/08,199969,弊社岡山第１工場,18193,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110763,#29 DS620-68 CN Bｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,1024,7.80,7987.2,2020/01/10,199969,弊社岡山第１工場,19193,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110769,#15 DS620-68 CN Eｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,512,7.80,3993.6,2020/01/10,199969,弊社岡山第１工場,20103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110770,#24 DS620-68 CN Fｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,512,7.80,3993.6,2020/01/10,199969,弊社岡山第１工場,21103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110781,#33 DS620-68 CN Hｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,1024,7.80,7987.2,2020/01/10,199969,弊社岡山第１工場,22103,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110784,#8 DS620-68 CN Iｶｲ1,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,1536,7.80,11980.8,2020/01/10,199969,弊社岡山第１工場,23103,永瀬　智徳,03-Dec-19
