ﾃﾞｰﾀ処理NO,情報区分ｺｰﾄﾞ,ﾃﾞｰﾀ作成日,発注者ｺｰﾄﾞ,受注者ｺｰﾄﾞ,発注部門ｺｰﾄﾞ,製造番号,訂正ｺｰﾄﾞ,ｺｯｸ区分,単位,支給区分,購買担当,材質規格寸法,仕様書有無,版数,品名,受注者品名ｺｰﾄﾞ,発注者品名ｺｰﾄﾞ,荷姿,納期,所要計画数量,備考,計画番号,計画年月日,標準納入日数,ｴﾝﾄﾞﾕｰｻﾞｰ名,指定ﾒｰｶｰ名,所要期間,契約条件区分,機種ｺｰﾄﾞ,戦略物資区分,発注品仕様,発注部門名,購買担当K,材質規格寸法K,品名K,備考K,ｴﾝﾄﾞﾕｰｻﾞｰ名K,指定ﾒｰｶｰ名K,機種名K,発注品仕様K,発注部門名K
37,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2019/12/24,1600,,A0035217546,2019/11/30,0,,,0,,,,,,,,,,,,,,
38,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚB,,P2140-42410,,2019/12/24,200,,A0035217603,2019/11/30,0,,,0,,,,,,,,,,,,,,
39,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚB,,P2151-45940,,2019/12/24,500,,A0035217612,2019/11/30,0,,,0,,,,,,,,,,,,,,
40,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚﾌﾀｶﾝU,,P219A-47400,,2019/12/23,210,,A0035218101,2019/11/30,0,,,0,,,,,,,,,,,,,,
41,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2019/12/18,60,,A0035220963,2019/11/30,0,,,0,,,,,,,,,,,,,,
42,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2019/12/19,390,,A0035220964,2019/11/30,0,,,0,,,,,,,,,,,,,,
43,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2019/12/23,270,,A0035220965,2019/11/30,0,,,0,,,,,,,,,,,,,,
44,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽﾗｲﾀﾞU,,P006T-02E20,,2019/12/24,210,,A0035220966,2019/11/30,0,,,0,,,,,,,,,,,,,,
45,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2019/12/25,120,,A0035222213,2019/11/30,0,,,0,,,,,,,,,,,,,,
46,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞB,,P2125-10M00,,2019/12/26,480,,A0035222214,2019/11/30,0,,,0,,,,,,,,,,,,,,
47,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2019/12/18,2000,,A0035222684,2019/11/30,0,,,0,,,,,,,,,,,,,,
48,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2019/12/19,1000,,A0035222685,2019/11/30,0,,,0,,,,,,,,,,,,,,
49,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2019/12/23,1000,,A0035222686,2019/11/30,0,,,0,,,,,,,,,,,,,,
50,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎ-ｽﾊﾝｶﾞ-,,P0170-67300,,2019/12/24,2000,,A0035222687,2019/11/30,0,,,0,,,,,,,,,,,,,,
51,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2019/12/18,1200,,A0035222754,2019/11/30,0,,,0,,,,,,,,,,,,,,
52,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2019/12/19,1100,,A0035222755,2019/11/30,0,,,0,,,,,,,,,,,,,,
53,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2019/12/23,500,,A0035222756,2019/11/30,0,,,0,,,,,,,,,,,,,,
54,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-31350,,2019/12/24,1000,,A0035222757,2019/11/30,0,,,0,,,,,,,,,,,,,,
55,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｰｽﾎﾙﾀﾞA,,P0120-82210,,2019/12/18,1700,,A0035223085,2019/11/30,0,,,0,,,,,,,,,,,,,,
56,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｰｽﾎﾙﾀﾞA,,P0120-82210,,2019/12/19,1800,,A0035223086,2019/11/30,0,,,0,,,,,,,,,,,,,,
57,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｰｽﾎﾙﾀﾞA,,P0120-82210,,2019/12/23,1600,,A0035223087,2019/11/30,0,,,0,,,,,,,,,,,,,,
58,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｰｽﾎﾙﾀﾞA,,P0120-82210,,2019/12/24,1700,,A0035223088,2019/11/30,0,,,0,,,,,,,,,,,,,,
59,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02E10,,2019/12/18,90,,A0035223243,2019/11/30,0,,,0,,,,,,,,,,,,,,
60,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02E10,,2019/12/19,180,,A0035223244,2019/11/30,0,,,0,,,,,,,,,,,,,,
61,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02E10,,2019/12/23,360,,A0035223245,2019/11/30,0,,,0,,,,,,,,,,,,,,
62,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02E10,,2019/12/24,180,,A0035223246,2019/11/30,0,,,0,,,,,,,,,,,,,,
63,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02F10,,2019/12/18,420,,A0035223554,2019/11/30,0,,,0,,,,,,,,,,,,,,
64,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02F10,,2019/12/19,420,,A0035223555,2019/11/30,0,,,0,,,,,,,,,,,,,,
65,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02F10,,2019/12/23,720,,A0035223556,2019/11/30,0,,,0,,,,,,,,,,,,,,
66,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-02F10,,2019/12/24,420,,A0035223557,2019/11/30,0,,,0,,,,,,,,,,,,,,
67,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93020,,2019/12/18,756,,A0035223727,2019/11/30,0,,,0,,,,,,,,,,,,,,
68,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93020,,2019/12/19,864,,A0035223728,2019/11/30,0,,,0,,,,,,,,,,,,,,
69,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93020,,2019/12/23,432,,A0035223729,2019/11/30,0,,,0,,,,,,,,,,,,,,
70,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93020,,2019/12/24,756,,A0035223730,2019/11/30,0,,,0,,,,,,,,,,,,,,
71,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93110,,2019/12/18,360,,A0035223873,2019/11/30,0,,,0,,,,,,,,,,,,,,
72,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93110,,2019/12/19,288,,A0035223874,2019/11/30,0,,,0,,,,,,,,,,,,,,
73,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93110,,2019/12/23,72,,A0035223875,2019/11/30,0,,,0,,,,,,,,,,,,,,
74,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-93110,,2019/12/24,216,,A0035223876,2019/11/30,0,,,0,,,,,,,,,,,,,,
75,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｼﾞｮﾀﾝｸAｶﾝU,,P122A-31330,,2019/12/20,450,,A0035223964,2019/11/30,0,,,0,,,,,,,,,,,,,,
76,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｱｼｲﾀC,,P0351-39000,,2019/12/20,4500,,A0035224106,2019/11/30,0,,,0,,,,,,,,,,,,,,
77,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ8,,,,ﾎ-ｽﾎﾙﾀﾞB,,P1295-10M00,,2019/12/23,5000,,A0035224312,2019/11/30,0,,,0,,,,,,,,,,,,,,
78,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ8,,,,ﾎ-ｽﾎﾙﾀﾞB,,P1295-10M00,,2019/12/26,5000,,A0035224313,2019/11/30,0,,,0,,,,,,,,,,,,,,
79,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｽｲｯﾁﾌﾟﾚ-ﾄB,,P0624-45900,,2019/12/25,3000,,A0035224605,2019/11/30,0,,,0,,,,,,,,,,,,,,
80,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝ~ｲﾀA,,P2918-02C40,,2019/12/18,1600,,A0035225121,2019/11/30,0,,,0,,,,,,,,,,,,,,
81,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝ~ｲﾀA,,P2918-02C40,,2019/12/19,1600,,A0035225122,2019/11/30,0,,,0,,,,,,,,,,,,,,
82,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝ~ｲﾀA,,P2918-02C40,,2019/12/20,1600,,A0035225123,2019/11/30,0,,,0,,,,,,,,,,,,,,
83,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝ~ｲﾀA,,P2918-02C40,,2019/12/24,1600,,A0035225124,2019/11/30,0,,,0,,,,,,,,,,,,,,
84,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷﾕｳｽｲﾍﾞﾝ-ｲﾀA,,P2918-39020,,2019/12/19,100,,A0035225192,2019/11/30,0,,,0,,,,,,,,,,,,,,
85,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷﾕｳｽｲﾍﾞﾝ-ｲﾀA,,P2918-39020,,2019/12/24,100,,A0035225193,2019/11/30,0,,,0,,,,,,,,,,,,,,
86,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝﾄﾘﾂｹｲﾀ,,P2918-96520,,2019/12/18,90,,A0035225264,2019/11/30,0,,,0,,,,,,,,,,,,,,
87,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁB,,P2132-93010,,2019/12/25,1600,,A0035228162,2019/11/30,0,,,0,,,,,,,,,,,,,,
88,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁB,,P2132-93010,,2019/12/26,1600,,A0035228163,2019/11/30,0,,,0,,,,,,,,,,,,,,
89,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67370,,2019/12/18,1050,,A0035228421,2019/11/30,0,,,0,,,,,,,,,,,,,,
90,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67370,,2019/12/19,1110,,A0035228422,2019/11/30,0,,,0,,,,,,,,,,,,,,
91,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67370,,2019/12/23,540,,A0035228423,2019/11/30,0,,,0,,,,,,,,,,,,,,
92,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67370,,2019/12/24,990,,A0035228424,2019/11/30,0,,,0,,,,,,,,,,,,,,
93,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67470,,2019/12/18,1050,,A0035228537,2019/11/30,0,,,0,,,,,,,,,,,,,,
94,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67470,,2019/12/19,1110,,A0035228538,2019/11/30,0,,,0,,,,,,,,,,,,,,
95,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67470,,2019/12/23,540,,A0035228539,2019/11/30,0,,,0,,,,,,,,,,,,,,
96,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾋﾟﾝB,,P2166-67470,,2019/12/24,990,,A0035228540,2019/11/30,0,,,0,,,,,,,,,,,,,,
97,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｷｭｳｽｲﾍﾞﾝｶﾗｰ,,P2922-02C00,,2020/1/6,6960,,A0035229521,2019/11/30,0,,,0,,,,,,,,,,,,,,
98,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁA,,P2131-93020,,2019/12/25,1200,,A0035231726,2019/11/30,0,,,0,,,,,,,,,,,,,,
99,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁA,,P2131-93020,,2019/12/26,1800,,A0035231727,2019/11/30,0,,,0,,,,,,,,,,,,,,
100,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(L),,P1127-93000,,2019/12/25,4800,,A0035232529,2019/11/30,0,,,0,,,,,,,,,,,,,,
101,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰA (R),,P1126-93010,,2019/12/25,4800,,A0035232530,2019/11/30,0,,,0,,,,,,,,,,,,,,
102,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,,2019/12/26,400,,B0035212315,2019/11/30,0,,,0,,,,,,,,,,,,,,
103,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎｰｽﾊﾝｶﾞ,,P0170-96500,,2019/12/25,500,,B0035212657,2019/11/30,0,,,0,,,,,,,,,,,,,,
104,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2019/12/25,1800,,B0035214378,2019/11/30,0,,,0,,,,,,,,,,,,,,
105,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2019/12/26,3400,,B0035214379,2019/11/30,0,,,0,,,,,,,,,,,,,,
106,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2019/12/25,1800,,B0035214618,2019/11/30,0,,,0,,,,,,,,,,,,,,
107,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2019/12/26,3400,,B0035214619,2019/11/30,0,,,0,,,,,,,,,,,,,,
108,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎﾞﾃﾞｨﾎｷｮｳU,,P001V-06G00,,2019/12/26,100,,B0035215091,2019/11/30,0,,,0,,,,,,,,,,,,,,
109,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2019/12/25,520,,B0035215263,2019/11/30,0,,,0,,,,,,,,,,,,,,
110,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2019/12/26,572,,B0035215264,2019/11/30,0,,,0,,,,,,,,,,,,,,
111,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2019/12/25,945,,B0035215726,2019/11/30,0,,,0,,,,,,,,,,,,,,
112,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2019/12/26,1485,,B0035215727,2019/11/30,0,,,0,,,,,,,,,,,,,,
113,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-93030,,2019/12/25,200,,B0035215928,2019/11/30,0,,,0,,,,,,,,,,,,,,
114,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2019/12/25,600,,B0035217144,2019/11/30,0,,,0,,,,,,,,,,,,,,
