ﾃﾞｰﾀ処理NO,情報区分ｺｰﾄﾞ,ﾃﾞｰﾀ作成日,発注者ｺｰﾄﾞ,受注者ｺｰﾄﾞ,発注部門ｺｰﾄﾞ,製造番号,訂正ｺｰﾄﾞ,ｺｯｸ区分,単位,支給区分,購買担当,材質規格寸法,仕様書有無,版数,品名,受注者品名ｺｰﾄﾞ,発注者品名ｺｰﾄﾞ,荷姿,納期,所要計画数量,備考,計画番号,計画年月日,標準納入日数,ｴﾝﾄﾞﾕｰｻﾞｰ名,指定ﾒｰｶｰ名,所要期間,契約条件区分,機種ｺｰﾄﾞ,戦略物資区分,発注品仕様,発注部門名,購買担当K,材質規格寸法K,品名K,備考K,ｴﾝﾄﾞﾕｰｻﾞｰ名K,指定ﾒｰｶｰ名K,機種名K,発注品仕様K,発注部門名K
1,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,,2019/12/18,400,,A0035212312,2019/11/30,0,,,0,,,,,,,,,,,,,,
2,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,,2019/12/19,300,,A0035212313,2019/11/30,0,,,0,,,,,,,,,,,,,,
3,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93130,,2019/12/24,200,,A0035212314,2019/11/30,0,,,0,,,,,,,,,,,,,,
4,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2019/12/18,3200,,A0035214374,2019/11/30,0,,,0,,,,,,,,,,,,,,
5,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2019/12/19,3400,,A0035214375,2019/11/30,0,,,0,,,,,,,,,,,,,,
6,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2019/12/23,3000,,A0035214376,2019/11/30,0,,,0,,,,,,,,,,,,,,
7,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(L),,P0192-63040,,2019/12/24,3200,,A0035214377,2019/11/30,0,,,0,,,,,,,,,,,,,,
8,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2019/12/18,3200,,A0035214614,2019/11/30,0,,,0,,,,,,,,,,,,,,
9,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2019/12/19,3400,,A0035214615,2019/11/30,0,,,0,,,,,,,,,,,,,,
10,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2019/12/23,3200,,A0035214616,2019/11/30,0,,,0,,,,,,,,,,,,,,
11,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌﾀﾁｮｳﾊﾞﾝ(R),,P0192-63050,,2019/12/24,3200,,A0035214617,2019/11/30,0,,,0,,,,,,,,,,,,,,
12,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎﾞﾃﾞｨﾎｷｮｳU,,P001V-06G00,,2019/12/18,100,,A0035215088,2019/11/30,0,,,0,,,,,,,,,,,,,,
13,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎﾞﾃﾞｨﾎｷｮｳU,,P001V-06G00,,2019/12/23,100,,A0035215089,2019/11/30,0,,,0,,,,,,,,,,,,,,
14,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾎﾞﾃﾞｨﾎｷｮｳU,,P001V-06G00,,2019/12/24,100,,A0035215090,2019/11/30,0,,,0,,,,,,,,,,,,,,
15,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2019/12/18,624,,A0035215259,2019/11/30,0,,,0,,,,,,,,,,,,,,
16,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2019/12/19,520,,A0035215260,2019/11/30,0,,,0,,,,,,,,,,,,,,
17,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2019/12/23,1040,,A0035215261,2019/11/30,0,,,0,,,,,,,,,,,,,,
18,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｾﾝｻﾞｲｲﾚU,,P021B-02E20,,2019/12/24,624,,A0035215262,2019/11/30,0,,,0,,,,,,,,,,,,,,
19,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2019/12/18,1755,,A0035215722,2019/11/30,0,,,0,,,,,,,,,,,,,,
20,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2019/12/19,1485,,A0035215723,2019/11/30,0,,,0,,,,,,,,,,,,,,
21,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2019/12/23,1755,,A0035215724,2019/11/30,0,,,0,,,,,,,,,,,,,,
22,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-05Z20,,2019/12/24,1350,,A0035215725,2019/11/30,0,,,0,,,,,,,,,,,,,,
23,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾌｨﾙﾀAU,,P002X-93030,,2019/12/24,100,,A0035215927,2019/11/30,0,,,0,,,,,,,,,,,,,,
24,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2019/12/18,1500,,A0035217140,2019/11/30,0,,,0,,,,,,,,,,,,,,
25,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2019/12/19,2100,,A0035217141,2019/11/30,0,,,0,,,,,,,,,,,,,,
26,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2019/12/23,1500,,A0035217142,2019/11/30,0,,,0,,,,,,,,,,,,,,
27,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾀﾝｸｳｹｽﾃｰB(R),,P1127-93100,,2019/12/24,1800,,A0035217143,2019/11/30,0,,,0,,,,,,,,,,,,,,
28,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-22050,,2019/12/20,69,,A0035217350,2019/11/30,0,,,0,,,,,,,,,,,,,,
29,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｺﾓﾉｲﾚ,,P1189-22050,,2019/12/23,69,,A0035217351,2019/11/30,0,,,0,,,,,,,,,,,,,,
30,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2019/12/18,700,,A0035217385,2019/11/30,0,,,0,,,,,,,,,,,,,,
31,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2019/12/19,800,,A0035217386,2019/11/30,0,,,0,,,,,,,,,,,,,,
32,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2019/12/23,500,,A0035217387,2019/11/30,0,,,0,,,,,,,,,,,,,,
33,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ｶｺﾞﾊﾝｶﾞ,,P0166-93020,,2019/12/24,900,,A0035217388,2019/11/30,0,,,0,,,,,,,,,,,,,,
34,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2019/12/18,1600,,A0035217543,2019/11/30,0,,,0,,,,,,,,,,,,,,
35,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2019/12/19,1600,,A0035217544,2019/11/30,0,,,0,,,,,,,,,,,,,,
36,201,2019/11/30,10801021529,103463,JAFA,,1,1,PC,,DZ7,,,,ﾗｯﾁﾄﾘﾂｹｲﾀ,,P2133-93020,,2019/12/23,1200,,A0035217545,2019/11/30,0,,,0,,,,,,,,,,,,,,
