8,1号機,08:00,MLD-MD-20035,"MD-SPA-FフランジST-L カイ1",　
8,2号機,08:00,P0192-63040,フタチョウバンL,　
8,2号機,13:00,BON-MD-20015,MD-CP30ボビン,　
8,3号機,08:00,P0335-36420,チョウセイアシ,　
8,3号機,09:00,P1127-93000,タンクウケステーBL,　
8,4号機,08:00,P2166-67370,"カゴピンB（L） ",　
8,4号機,09:00,MLD-EX-20001,樹脂ｷｬｯﾌﾟS-35,　
8,5号機,08:00,ARACBA905051,ベースLEDトップ,　
8,5号機,09:00,P0120-82210,ホースホルダーA,　
8,6号機,08:00,AWW0970A0CW0,スペーサ,　
8,6号機,09:00,P2922-02C00,キュウスイベンカラー,　
8,7号機,08:00,BON-NDS-20001,NDS-カードボビン,　
8,9号機,08:00,W002,ターミナル,　
9,1号機,08:00,MLD-MD-20035,"MD-SPA-FフランジST-L カイ1",　
9,2号機,08:00,BON-MD-20015,MD-CP30ボビン,　
9,3号機,08:00,P1127-93000,タンクウケステーBL,　
9,4号機,08:00,MLD-EX-20001,樹脂ｷｬｯﾌﾟS-35,　
9,4号機,09:00,P2166-93020," カゴピンB ",　
9,5号機,08:00,P0120-82210,ホースホルダーA,　
9,7号機,08:00,BON-NDS-20001,NDS-カードボビン,　
9,9号機,08:00,W002,ターミナル,　
10,9号機,08:00,W002,ターミナル,　
