product_id,irisu,id_box,,
BON-SO-20027,160,10,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-UR-20011,500,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
BON-UR-20012,500,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20009,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20010,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20011,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20012,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20013,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20014,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20015,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20016,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20017,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20018,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20019,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20020,112,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20021,84,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-MD-20022,84,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-NDS-20001,30,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-NDS-20002,144,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-PCC-20001,180,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-PCC-20002,180,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-PCC-20003,180,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CAS-PCC-20004,168,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
CG-0827,300,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
DG-01922,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
F9MP161020,176,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
F9MP161021,176,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
F9MP161022,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
FBOC47-073-5,90,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
