,測定時刻,ロット番号,シリアルカウンタ,判定,担当者,測定回数,円径002,円径013,
設計値,,,,,,,38.000,27.000,
上限規格値,,,,,,,0.400,0.050,
下限規格値,,,,,,,-0.400,-0.050,
,2019/07/17 16:51:19,1907171,0001,OK,doi,1,37.991,27.005,
,2019/07/17 16:51:19,1907171,0002,OK,doi,1,37.978,27.003,
,2019/07/17 16:51:19,1907171,0003,OK,doi,1,37.988,27.004,
,2019/07/17 16:51:19,1907171,0004,OK,doi,1,37.996,27.002,
