,測定時刻,ロット番号,シリアルカウンタ,判定,担当者,測定回数,線-線距離003,線-線距離004,線-線距離006,
設計値,,,,,,,38.300,30.000,19.000,
上限規格値,,,,,,,0.400,0.100,0.000,
下限規格値,,,,,,,-0.400,-0.050,-0.100,
,2019/07/17 16:50:25,19071714,0001,OK,doi,1,38.335,29.975,18.953,
,2019/07/17 16:50:25,19071714,0002,OK,doi,1,38.341,29.973,18.963,
,2019/07/17 16:50:25,19071714,0003,OK,doi,1,38.334,29.979,18.971,
,2019/07/17 16:50:25,19071714,0004,OK,doi,1,38.338,29.976,18.971,
