10,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P2150-02E10,,センザイイレ,,416,,,,
27,B,200914,1,（株）DNPイメージングコム,,MLD-EX-20002,,PPキャップΦ56,,720,,,,
54,B,IN.200914,1,（株）DNPイメージングコム,,MLD-EX-20002,,PPキャップΦ56,,360,,,,
36,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P0192-63040,,フタチョウバンL,,200,,,,
36,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P0192-63050,,フタチョウバンR,,200,,,,
62,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P0120-82210,,ホースホルダーA,,100,,,,
21,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P2166-02F10,,カゴピンB,,60,,,,
43,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P2166-93020,,カゴピンB,,108,,,,
3,B,200914,1,（株）DNPイメージングコム,,MLD-EX-20001,,樹脂ｷｬｯﾌﾟS-35,,304,,,,
6,B,IN.200914,1,（株）DNPイメージングコム,,MLD-EX-20001,,樹脂ｷｬｯﾌﾟS-35,,152,,,,
25,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P0335-36420,,チョウセイアシ,,360,,,,
3,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P2922-02C00,,キュウスイベンカラー,,580,,,,
3,B,200914,1,（株）DNPイメージングコム,,MLD-MD-20031,,MD-SPA-FフランジS-R1カイ1,,4000,,,,
15,B,IN.200914,1,（株）DNPイメージングコム,,MLD-MD-20031,,MD-SPA-FフランジS-R1カイ1,,800,,,,
15,B,200914,1,（株）DNPイメージングコム,,MLD-MD-20032,,MD-SPA-FフランジS-R2カイ1,,800,,,,
15,B,IN.200914,1,（株）DNPイメージングコム,,MLD-MD-20032,,MD-SPA-FフランジS-R2カイ1,,800,,,,
6,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P2131-93020,,ラッチA,,600,,,,
9,A,200914,1,キッチンアプライアンス（事）,加東工場,RF46-K59,,基板蓋,,490,,,,
1,B,200914,1,ケーブル工業（株）,,W002,,ターミナル,,200,,,,
27,A,200914,1,キッチンアプライアンス（事）,ショクセンキグループ,P002X-93030,,フィルターAU,,100,,,,
