1,B,200601,1,（株）DNPイメージングコム,,MLD-NDS-20001,,NDS-カセットヨウシャフトビン,,1000,,,,
1,B,200601,1,（株）DNPイメージングコム,,MLD-NDS-20002,,NDS-カセットヨウノブ,,1000,,,,
8,A,200601,1,キッチンアプライアンス（事）,ショクセンキグループ,P1126-93010,,タンクウケステーA,,1600,,,,
1,A,200601,1,ランドリークリーナー（事）,静岡工場,W2131-8RU20,,ラッチAR,,800,,,,
38,B,200601,1,（株）DNPイメージングコム,,MLD-EX-20002,,PPキャップΦ56,,720,,,,
76,B,IN.200601,1,（株）DNPイメージングコム,,MLD-EX-20002,,PPキャップΦ56,,360,,,,
1,A,200601,1,キッチンアプライアンス（事）,ショクセンキグループ,P0335-36420,,チョウセイアシ,,360,,,,
22,A,200601,1,キッチンアプライアンス（事）,ショクセンキグループ,P1127-93000,,タンクウケステーBL,,400,,,,
96,C,200601,1,キッチンアプライアンス（事）,ショクセンキグループ,P2166-67370,P2166-67470,カゴピンB（L）,カゴピンB（R）,30,30,set,,
36,A,200601,1,キッチンアプライアンス（事）,ショクセンキグループ,P0192-63040,,フタチョウバンL,,200,,,,
36,A,200601,1,キッチンアプライアンス（事）,ショクセンキグループ,P0192-63050,,フタチョウバンR,,200,,,,
14,A,200601,1,ランドリークリーナー（事）,静岡工場,W3440-8RT00,,サスペンションキャップ,,1000,,,,
0,A,200601,1,キッチンアプライアンス（事）,加東工場,RC41-J67,,スリーブ,,1200,,,,
42,A,200601,1,キッチンアプライアンス（事）,ショクセンキグループ,P1127-93100,,タンクウケステーB(R),,300,,,,
28,A,200601,1,キッチンアプライアンス（事）,ショクセンキグループ,P002X-93030,,フィルターAU,,100,,,,
