id,datetime_hakkou,product_id,lot_num,amount,flag_used,date_deliver,place_deliver_id,cs_name,operator_deliver,flag_deliver,delete_flg,updated_at
898990,2019/11/13 03:59:00,W2131-8RT20,191113-014,800,9,,,,,,,
898991,2019/11/13 03:59:00,W2131-8RT20,191113-015,800,9,,,,,,,
898992,2019/11/13 03:59:00,MLD-MD-20035,191113-001,1200,9,,,,,,,
898993,2019/11/13 03:59:00,MLD-MD-20035,191113-002,1200,9,,,,,,,
898994,2019/11/13 03:59:00,MLD-MD-20035,191113-003,1200,9,,,,,,,
898995,2019/11/13 03:59:00,MLD-MD-20035,191113-004,1200,9,,,,,,,
898996,2019/11/13 03:59:00,MLD-MD-20035,191113-005,1200,9,,,,,,,
898997,2019/11/13 03:59:00,MLD-MD-20035,191113-006,1200,9,,,,,,,
898998,2019/11/13 03:59:00,MLD-MD-20035,191113-007,1200,9,,,,,,,
898999,2019/11/13 03:59:00,MLD-MD-20035,191113-008,1200,9,,,,,,,
899000,2019/11/13 03:59:00,MLD-MD-20035,191113-009,1200,9,,,,,,,
899001,2019/11/13 03:59:00,MLD-MD-20035,191113-010,1200,9,,,,,,,
899002,2019/11/13 03:59:00,MLD-MD-20035,191113-011,1200,9,,,,,,,
899003,2019/11/13 03:59:00,MLD-MD-20035,191113-012,1200,9,,,,,,,
899004,2019/11/13 03:59:00,MLD-MD-20035,191113-013,1200,9,,,,,,,
899005,2019/11/13 03:59:00,MLD-MD-20035,191113-014,1200,9,,,,,,,
899006,2019/11/13 03:59:00,MLD-MD-20035,191113-015,1200,9,,,,,,,
899007,2019/11/13 03:59:00,MLD-MD-20035,191113-016,1200,9,,,,,,,
899008,2019/11/13 03:59:00,MLD-MD-20035,191113-017,1200,9,,,,,,,
899009,2019/11/13 03:59:00,MLD-MD-20035,191113-018,1200,9,,,,,,,
899010,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-001,600,9,,,,,,,
899011,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-002,600,9,,,,,,,
899012,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-003,600,9,,,,,,,
899013,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-004,600,9,,,,,,,
899014,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-005,600,9,,,,,,,
899015,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-006,600,9,,,,,,,
899016,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-007,600,9,,,,,,,
899017,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-008,600,9,,,,,,,
899018,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-009,600,9,,,,,,,
899019,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-010,600,9,,,,,,,
899020,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-011,600,9,,,,,,,
899021,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-012,600,9,,,,,,,
899022,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-013,600,9,,,,,,,
899023,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-014,600,9,,,,,,,
899024,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-015,600,9,,,,,,,
899025,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-016,600,9,,,,,,,
899026,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-017,600,9,,,,,,,
899027,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-018,600,9,,,,,,,
899028,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-019,600,9,,,,,,,
899029,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-020,600,9,,,,,,,
899030,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-021,600,9,,,,,,,
899031,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-022,600,9,,,,,,,
899032,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-023,600,9,,,,,,,
899033,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-024,600,9,,,,,,,
899034,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-025,600,9,,,,,,,
899035,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-026,600,9,,,,,,,
899036,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-027,600,9,,,,,,,
899037,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-028,600,9,,,,,,,
899038,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-029,600,9,,,,,,,
899039,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-030,600,9,,,,,,,
899040,2019/11/13 03:59:00,MLD-MD-20035,IN.191113-031,600,9,,,,,,,
